country,year,iso_code,population,renewables_share_energy,fossil_share_energy,clean_share_elec,fossil_share_elec,transition_gap,carbon_intensity_elec,is_focus_country
Norway,2000,NOR,4490864.0,70.79300689697266,29.206993103027344,99.71231842041016,0.2876788973808288,99.42463952302933,25.75,True
Brazil,2000,BRA,174018278.0,40.939064025878906,58.333526611328125,91.2246024608612,8.775399208068848,82.44920325279236,89.44999694824219,True
Sweden,2000,SWE,8872099.0,36.65571975708008,38.228885650634766,96.71555709838867,3.2844455242156982,93.43111157417297,44.88999938964844,True
New Zealand,2000,NZL,3857576.0,35.363868713378906,64.6361312866211,71.75533294677734,28.244667053222656,43.51066589355469,184.2700042724609,False
Peru,2000,PER,26598328.0,31.450159072875977,68.54984283447266,81.97791290283203,18.02208709716797,63.95582580566406,141.05999755859375,False
Austria,2000,AUT,8012929.0,31.267690658569336,68.73230743408203,72.83702087402344,27.16297912597656,45.674041748046875,203.38999938964844,False
Switzerland,2000,CHE,7184003.0,29.476491928100582,50.03802490234375,96.99031829833984,3.009679317474365,93.98063898086548,33.58000183105469,False
Canada,2000,CAN,30891800.0,28.536216735839844,65.85218811035156,72.57957458496094,27.42042350769043,45.15915107727051,245.69000244140625,False
Colombia,2000,COL,39089939.0,28.239261627197266,71.7607421875,75.35621643066406,24.643774032592773,50.71244239807129,189.2100067138672,False
Venezuela,2000,VEN,24526707.0,22.962221145629883,77.03778076171875,73.75395965576172,26.246042251586918,47.507917404174805,212.7400054931641,False
Latvia,2000,LVA,2368320.0,20.89092254638672,79.10907745361328,68.1159439086914,31.88405990600586,36.23188400268555,147.33999633789062,False
Ecuador,2000,ECU,12689215.0,20.57349395751953,79.42650604248047,71.50997161865234,28.490028381347656,43.01994323730469,204.17999267578125,False
Finland,2000,FIN,5176197.0,19.162656784057617,63.225563049316406,65.54237365722656,34.45762634277344,31.084747314453125,246.82000732421875,False
Vietnam,2000,VNM,77154016.0,19.107120513916016,80.89288330078125,54.7816276550293,45.21837615966797,9.563251495361328,321.9100036621094,False
Chile,2000,CHL,15503638.0,18.856054306030277,81.1439437866211,49.82976913452149,50.17023086547852,-0.34046173095703125,388.1300048828125,False
Croatia,2000,HRV,4326105.0,18.793607711791992,81.20639038085938,57.53791046142578,42.46208953857422,15.075820922851562,302.4100036621094,False
Philippines,2000,PHL,79625401.0,18.728761672973636,81.271240234375,42.8918342590332,57.10816955566406,-14.21633529663086,468.2099914550781,False
Sri Lanka,2000,LKA,19293056.0,16.82260513305664,83.1773910522461,47.34513092041016,52.65486526489258,-5.309734344482415,358.4100036621094,False
Slovenia,2000,SVN,1986817.0,14.026291847229004,68.9066390991211,63.62968635559082,36.37031555175781,27.259370803833008,361.5,False
Portugal,2000,PRT,10283196.0,12.409293174743652,87.59070587158203,29.784772872924805,70.2152328491211,-40.43045997619629,546.1699829101562,False
Argentina,2000,ARG,37213986.0,11.556683540344238,85.9854965209961,39.53697156906128,60.4630241394043,-20.926052570343018,355.4700012207031,False
Pakistan,2000,PAK,154879124.0,10.75340747833252,88.69983673095703,26.425028264522552,73.5749740600586,-47.14994579553604,499.9299926757813,False
North Macedonia,2000,MKD,2057254.0,10.607728004455566,89.39227294921875,17.18061637878418,82.81938171386719,-65.63876533508301,822.3200073242188,False
Turkey,2000,TUR,65425957.0,10.09557056427002,89.90442657470703,25.05225944519043,74.94774627685547,-49.89548683166504,574.1300048828125,False
Romania,2000,ROU,22046264.0,9.835689544677734,86.53299713134766,39.255234718322754,60.7447624206543,-21.489527702331543,513.77001953125,False
Egypt,2000,EGY,73083287.0,6.998061656951904,93.00193786621094,19.44899177551269,80.55101013183594,-61.10201835632324,525.6400146484375,False
Italy,2000,ITA,57272200.0,6.852819919586182,93.14717864990234,18.84492874145508,81.15507507324219,-62.31014633178711,501.6700134277344,False
Denmark,2000,DNK,5339659.0,6.7593865394592285,93.24061584472656,15.53696060180664,84.46304321289062,-68.92608261108398,627.8900146484375,True
Mexico,2000,MEX,98625553.0,6.664580345153809,91.9853057861328,23.41616821289063,76.5838394165039,-53.16767120361328,525.3900146484375,False
Spain,2000,ESP,41019772.0,6.598010063171387,81.9992904663086,43.77150249481201,56.22850036621094,-12.456997871398926,470.8900146484375,False
France,2000,FRA,59483716.0,6.409308433532715,56.16044998168945,90.69212913513184,9.30787181854248,81.38425731658936,79.7699966430664,False
Russia,2000,RUS,146717784.0,6.353991508483887,88.58675384521484,33.593464851379395,66.40653228759766,-32.81306743621826,469.9400024414063,False
India,2000,IND,1057922731.0,6.04160213470459,92.7778549194336,16.808134078979492,83.19186401367188,-66.38372993469238,740.0399780273438,True
Slovakia,2000,SVK,5380001.0,5.923003673553467,72.90819549560547,68.55100345611572,31.448993682861328,37.102009773254395,251.13999938964844,False
Kazakhstan,2000,KAZ,15501108.0,5.678532123565674,94.32146453857422,14.581720352172852,85.41828155517578,-70.83656120300293,781.1799926757812,False
